#,Model,Arch,NumEpochs,TrainingTime,TrainingTimePerEpoch,InferenceLatency,Accuracy,Flops,Parameters
1,MLP,Input(784)-Hidden(512)-Output(10),2,4.52,2.26,0.018,0.959,813056,407050
2,MLP,Input(784)-Hidden(512)-Hidden(512)-Output(10),2,4.83,2.41,0.016,0.961,1337344,669706
3,MLP,Input(784)-Hidden(512)-Hidden(256)-Output(10),2,4.78,2.39,0.01,0.959,1070080,535818
4,MLP,Input(784)-Hidden(512)-Hidden(256)-Hidden(128)-Output(10),2,4.72,2.36,0.011,0.958,1133056,567434
5,MLP,Input(784)-Hidden(512)-Hidden(512)-Hidden(512)-Output(10),2,5.3,2.65,0.017,96.50%,1861632,932362
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
